Cytogenetic map position,Genetic map position,Sequence coordinates (release 6),R6 conversion notes
22B,2-[3],2L:1698638..2027808,
22C,2-[4],2L:2027809..2132199,
22D,2-[5],2L:2132200..2298835,
22E,2-[6],2L:2298836..2425049,
22F,2-[6],2L:2425050..2564558,
23A,2-[7],2L:2564559..2790737,
23B,2-[7],2L:2790738..2875792,
23C,2-[8],2L:2875793..3066730,
23D,2-[8],2L:3066731..3218266,
23E,2-[9],2L:3218267..3370087,
23F,2-[10],2L:3370088..3526909,
24A,2-[10],2L:3526910..3666352,
24B,2-[10],2L:3666353..3698876,
24C,2-[11],2L:3698877..3912565,
24D,2-[11],2L:3912566..4225489,
24E,2-[12],2L:4225490..4397910,
24F,2-[12],2L:4397911..4537964,
25A,2-[13],2L:4537965..4842676,
25B,2-[14],2L:4842677..5006014,
25C,2-[15],2L:5006015..5213649,
25D,2-[16],2L:5213650..5372874,
25E,2-[17],2L:5372875..5572913,
25F,2-[17],2L:5572914..5831061,
26A,2-[18],2L:5831062..5980164,
26B,2-[18],2L:5980165..6233012,
26C,2-[19],2L:6233013..6384431,
26D,2-[20],2L:6384432..6514155,
26E,2-[21],2L:6514156..6583040,
26F,2-[21],2L:6583041..6687691,
27A,2-[22],2L:6687692..6746143,
27B,2-[22],2L:6746144..6839038,
27C,2-[23],2L:6839039..6969877,
27D,2-[24],2L:6969878..7069441,
27E,2-[25],2L:7069442..7277616,
27F,2-[26],2L:7277617..7445305,
28A,2-[27],2L:7445306..7548020,
28B,2-[27],2L:7548021..7644956,
28C,2-[28],2L:7644957..7820556,
28D,2-[29],2L:7820557..8060238,
28E,2-[30],2L:8060239..8168304,
28F,2-[30],2L:8168305..8254275,
29A,2-[31],2L:8254276..8340270,
29B,2-[31],2L:8340271..8387293,
29C,2-[32],2L:8387294..8454356,
29D,2-[33],2L:8454357..8536704,
29E,2-[33],2L:8536705..8761614,
29F,2-[34],2L:8761615..9059863,
30A,2-[35],2L:9059864..9362423,
30B,2-[35],2L:9362424..9589828,
30C,2-[36],2L:9589829..9785847,
30D,2-[36],2L:9785848..9880189,
30E,2-[37],2L:9880190..9920729,
30F,2-[38],2L:9920730..10033194,
31A,2-[39],2L:10033195..10170693,
31B,2-[40],2L:10170694..10280567,
31C,2-[40],2L:10280568..10297297,
31D,2-[41],2L:10297298..10391524,
31E,2-[42],2L:10391525..10472969,
31F,2-[43],2L:10472970..10557961,
32A,2-[43],2L:10557962..10774975,
32B,2-[43],2L:10774976..10929250,
32C,2-[44],2L:10929251..11021965,
32D,2-[44],2L:11021966..11169360,
32E,2-[44],2L:11169361..11372970,
32F,2-[44],2L:11372971..11680785,
33A,2-[45],2L:11680786..11901327,
33B,2-[45],2L:11901328..12053550,
33C,2-[46],2L:12053551..12118065,
33D,2-[46],2L:12118066..12313074,
33E,2-[46],2L:12313075..12581605,
33F,2-[47],2L:12581606..12778076,
34A,2-[47],2L:12778077..13241340,
34B,2-[48],2L:13241341..13428842,
34C,2-[48],2L:13428843..13702162,
34D,2-[49],2L:13702163..13858651,
34E,2-[50],2L:13858652..14003468,
34F,2-[50],2L:14003469..14129305,
35A,2-[50],2L:14129306..14364252,
35B,2-[50],2L:14364253..15063839,
35C,2-[51],2L:15063840..15271253,
35D,2-[51],2L:15271254..15968241,
35E,2-[51],2L:15968242..16209133,
35F,2-[52],2L:16209134..16411601,
36A,2-[52],2L:16411602..16765029,
36B,2-[53],2L:16765030..17093815,
36C,2-[53],2L:17093816..17552485,
36D,2-[53],2L:17552486..17817472,
36E,2-[53],2L:17817473..18188234,
36F,2-[53],2L:18188235..18684441,
37A,2-[54],2L:18684442..18822138,
37B,2-[54],2L:18822139..19085148,
37C,2-[54],2L:19085149..19217604,
37D,2-[54],2L:19217605..19427708,
37E,2-[54],2L:19427709..19531130,
37F,2-[54],2L:19531131..19673576,
38A,2-[54],2L:19673577..20000958,
38B,2-[54],2L:20000959..20098210,
38C,2-[54],2L:20098211..20576388,
38D,2-[54],2L:20576389..20687000,
38E,2-[54],2L:20687001..20812419,
38F,2-[54],2L:20812420..20966124,
39A,2-[54],2L:20966125..21175048,
39B,2-[54],2L:21175049..21254364,
39C,2-[54],2L:21254365..21328898,
39D,2-[54],2L:21328899..21512721,includes 1 area of non-identity
39E,2-[54],2L:21512722..21684084,
39F,2-[54],2L:21684085..21731512,
40A,2-[54],2L:21731513..21858141,
40B,2-[54],2L:21858142..21929711,
40C,2-[54],2L:21929712..21973916,
40D,2-[54],2L:21973917..22061076,
40E,2-[54],2L:22061077..22148236,
40F,2-[54],2L:22148237..22677528,includes 1 area of non-identity
41A,2-[55],2R:4460914..4582213,
41B,2-[55],2R:4582214..4704666,
41C,2-[55],2R:4704667..5003330,
41D,2-[55],2R:5003331..5146578,
41E,2-[55],2R:5146579..5405810,
41F,2-[55],2R:5405811..5802899,
42A,2-[55],2R:5802900..6496635,
42B,2-[55],2R:6496636..6651965,
42C,2-[55],2R:6651966..6776962,
42D,2-[55],2R:6776963..6908322,
42E,2-[55],2R:6908323..7078091,
42F,2-[55],2R:7078092..7180673,
43A,2-[55],2R:7180674..7333730,
43B,2-[56],2R:7333731..7428108,
43C,2-[56],2R:7428109..7507125,
43D,2-[56],2R:7507126..7571522,
43E,2-[57],2R:7571523..7861513,
43F,2-[57],2R:7861514..7972697,
44A,2-[58],2R:7972698..8111490,
44B,2-[58],2R:8111491..8185881,
44C,2-[58],2R:8185882..8436436,
44D,2-[59],2R:8436437..8660244,
44E,2-[59],2R:8660245..8783086,
44F,2-[59],2R:8783087..8985487,
45A,2-[60],2R:8985488..9153344,
45B,2-[60],2R:9153345..9250250,
45C,2-[60],2R:9250251..9344686,
45D,2-[60],2R:9344687..9465233,
45E,2-[60],2R:9465234..9534677,
45F,2-[61],2R:9534678..9637538,
46A,2-[61],2R:9637539..9712022,
46B,2-[61],2R:9712023..9869622,
46C,2-[61],2R:9869623..9988605,
46D,2-[61],2R:9988606..10061025,
46E,2-[62],2R:10061026..10111219,
46F,2-[62],2R:10111220..10293800,
47A,2-[62],2R:10293801..10611911,
47B,2-[63],2R:10611912..10799365,
47C,2-[63],2R:10799366..10977100,
47D,2-[63],2R:10977101..11220954,
47E,2-[64],2R:11220955..11287018,
47F,2-[64],2R:11287019..11527782,
48A,2-[64],2R:11527783..11631875,
48B,2-[64],2R:11631876..11677455,
48C,2-[65],2R:11677456..11909032,
48D,2-[65],2R:11909033..12068241,
48E,2-[66],2R:12068242..12240144,
48F,2-[66],2R:12240145..12345603,
49A,2-[67],2R:12345604..12530887,
49B,2-[67],2R:12530888..12690972,
49C,2-[67],2R:12690973..12800417,
49D,2-[67],2R:12800418..12883886,
49E,2-[67],2R:12883887..13024826,
49F,2-[68],2R:13024827..13275886,
50A,2-[68],2R:13275887..13523466,
50B,2-[68],2R:13523467..13663923,
50C,2-[68],2R:13663924..13994731,
50D,2-[68],2R:13994732..14135801,
50E,2-[69],2R:14135802..14289891,
50F,2-[70],2R:14289892..14389491,
51A,2-[71],2R:14389492..14547366,
51B,2-[72],2R:14547367..14707858,
51C,2-[72],2R:14707859..14872152,
51D,2-[73],2R:14872153..15093453,
51E,2-[74],2R:15093454..15265242,
51F,2-[74],2R:15265243..15402599,
52A,2-[74],2R:15402600..15578985,
52B,2-[75],2R:15578986..15687453,
52C,2-[75],2R:15687454..15890253,
52D,2-[76],2R:15890254..16042767,
52E,2-[77],2R:16042768..16150095,
52F,2-[78],2R:16150096..16231534,
53A,2-[79],2R:16231535..16285583,
53B,2-[79],2R:16285584..16333899,
53C,2-[80],2R:16333900..16667220,
53D,2-[80],2R:16667221..16882421,
53E,2-[81],2R:16882422..17039162,
53F,2-[81],2R:17039163..17132869,
54A,2-[82],2R:17132870..17227747,
54B,2-[82],2R:17227748..17507339,
54C,2-[83],2R:17507340..17601739,
54D,2-[83],2R:17601740..17701490,
54E,2-[84],2R:17701491..17811908,
54F,2-[84],2R:17811909..17890759,
55A,2-[84],2R:17890760..18013902,
55B,2-[84],2R:18013903..18216698,
55C,2-[85],2R:18216699..18495501,
55D,2-[86],2R:18495502..18581568,
55E,2-[86],2R:18581569..18750945,
55F,2-[86],2R:18750946..18927715,
56A,2-[87],2R:18927716..19012906,
56B,2-[88],2R:19012907..19156660,
56C,2-[88],2R:19156661..19329544,
56D,2-[89],2R:19329545..19570458,
56E,2-[90],2R:19570459..19971053,
56F,2-[90],2R:19971054..20361757,
57A,2-[91],2R:20361758..20683849,
57B,2-[92],2R:20683850..21107330,includes 1 area of non-identity
57C,2-[93],2R:21107331..21199299,
57D,2-[94],2R:21199300..21378741,
57E,2-[95],2R:21378742..21549017,
57F,2-[96],2R:21549018..21758515,
58A,2-[97],2R:21758516..21978058,
58B,2-[98],2R:21978059..22128418,
58C,2-[98],2R:22128419..22193486,
58D,2-[99],2R:22193487..22417520,
58E,2-[100],2R:22417521..22584651,
58F,2-[100],2R:22584652..22675646,
59A,2-[101],2R:22675647..22766694,
59B,2-[101],2R:22766695..22978008,includes 1 area of non-identity
59C,2-[102],2R:22978009..23139064,
59D,2-[102],2R:23139065..23434601,
59E,2-[103],2R:23434602..23562485,
59F,2-[104],2R:23562486..23787158,
60A,2-[105],2R:23787159..23989883,
60B,2-[106],2R:23989884..24156611,
60C,2-[106],2R:24156612..24449698,
60D,2-[107],2R:24449699..24747488,
60E,2-[107],2R:24747489..25017640,
